old_slug,new_slug,old_title,new_title,method,score
2023-hr-p-038,2023-hr-1-2-2-10,장애특성,(10) 간장애,containment,0.959
2023-hr-p-039,2023-hr-1-2-2-10,고려 사항,(10) 간장애,containment,0.933
2023-hr-p-040,2023-hr-1-2-2-10,필요로 하는 편의지원 유형,(10) 간장애,containment,0.917
2023-hr-p-041,2023-hr-1-2-2-11,장애특성,(11) 장루ㆍ요루장애,containment,0.892
2023-hr-p-042,2023-hr-1-2-2-11,고려 사항,(11) 장루ㆍ요루장애,containment,0.949
2023-hr-p-043,2023-hr-1-2-2-11,필요로 하는 편의지원 유형,(11) 장루ㆍ요루장애,containment,0.852
2023-hr-p-044,2023-hr-1-2-2-12,장애특성,(12) 뇌전증장애,containment,0.962
2023-hr-p-045,2023-hr-1-2-2-12,고려 사항,(12) 뇌전증장애,containment,0.948
2023-hr-p-046,,필요로 하는 편의지원 유형,,unmatched,0.117
2023-hr-p-052,,■ 교원 성과평가 시 장애인 차별에 대한 진정 사례,,unmatched,0.389
2023-hr-p-055,2023-hr-3-1,편의지원 제공 의무의 원칙,1. 편의지원의 개념,containment,0.905
2023-hr-p-057,2023-hr-3-2-1-1,■ 장애인교원의 인적지원 등 정당한 편의제공 거부에 대한 차별 진정 사례,(1) 유형,containment,0.517
2023-hr-p-061,2023-hr-3-2-4-3,■ 대전교육청 업무메신저 개선 사례,(3) 정보접근 지원 내용,containment,0.754
2023-hr-p-063,,나. 대상시설별로 설치하여야 하는 편의시설의 종류,,unmatched,0.470
2023-hr-p-067,2023-hr-app-1-x1,■ 장애인의 분류,□ 장애인의 분류,title,0.932
2023-hr-p-068,2023-hr-1-2-2-1,① 지체장애,(1) 지체장애,title,0.025
2023-hr-p-069,2023-hr-1-2-2-2,② 뇌병변장애,(2) 뇌병변장애,title,0.017
2023-hr-p-070,2023-hr-1-2-2-3,③ 시각장애,(3) 시각장애,title,0.055
2023-hr-p-071,2023-hr-1-2-2-4,④ 청각장애,(4) 청각장애,title,0.032
2023-hr-p-072,2023-hr-app-1-x6,⑧ 자폐성장애,□ 장애인복지법에 따른 보행상 장애 관련 기준,containment,0.642
2023-hr-p-073,2023-hr-1-2-2-7,⑨ 신장장애,(7) 신장장애,title,0.144
2023-hr-p-074,2023-hr-1-2-2-8,⑩ 심장장애,(8) 심장장애,title,0.023
2023-hr-p-075,2023-hr-1-2-2-9,⑪ 호흡기장애,(9) 호흡기장애,title,0.036
2023-hr-p-076,2023-hr-app-1-x4,■ 「장애인고용촉진 및 직업재활법」에 따른 중증장애 기준,□ 「장애인고용촉진 및 직업재활법」에 따른 중증장애 기준,title,0.960
2023-hr-p-077,2023-hr-app-1-x5,■ 중증장애인 확인을 위한 구체적인 장애상태,□ 중증장애인 확인을 위한 구체적인 장애상태,title,0.689
2023-hr-p-078,2023-hr-app-2-x1-x1,근로지원인 서비스 신청서,근로지원인 서비스 신청서,title,0.915
2023-hr-p-079,2023-hr-app-2-x1-x2,개인정보처리 동의,개인정보 수집·이용 및 제공 사전 동의서(서비스 이용자용),subheading+containment,0.976
2023-hr-p-080,2023-hr-app-2-x1-x2,고유식별번호 및 민감정보 처리 동의,개인정보 수집·이용 및 제공 사전 동의서(서비스 이용자용),subheading+containment,0.992
2023-hr-p-082,2023-hr-app-2-x1-x2,고유식별번호 및 민감정보 제공 동의,개인정보 수집·이용 및 제공 사전 동의서(서비스 이용자용),subheading+containment,0.874
2023-hr-p-083,2023-hr-app-2-x2-x1,보조공학기기 지원 신청서,보조공학기기 지원 신청서,title,0.774
2023-hr-p-084,,한국장애인고용공단 이사장 귀하,,unmatched,0.377
2023-hr-p-085,2023-hr-app-2-x2-x4,개인정보처리 동의,개인정보 수집·이용 및 제공 사전 동의서,subheading+containment,0.936
2023-hr-p-086,2023-hr-app-2-x2-x4,고유식별번호 및 민감정보 처리 동의,개인정보 수집·이용 및 제공 사전 동의서,subheading+containment,0.986
2023-hr-p-088,2023-hr-app-2-x2-x4,고유식별번호 및 민감정보 제공 동의,개인정보 수집·이용 및 제공 사전 동의서,subheading+containment,0.934
2023-research-1,,Ⅰ. 서론 1,,unmatched,0.273
2023-research-1-10,2023-research-2-2-5-1,(1) 교수학습,기타 분야 (1) 교수학습,title+containment,0.980
2023-research-1-11,2023-research-3-1-1,1. 교원의 직무 유형 관련 문헌자료 분석,1) 선행연구,containment,0.901
2023-research-1-12,,1) 연구 방법,,unmatched,0.321
2023-research-1-13,2023-research-4-1-1-1,1. 지체장애 및 뇌병변장애인,전문가협의회 진행 결과 및 시사점 (1) 1차 전문가협의회,containment,0.981
2023-research-1-14,2023-research-4-1-3-1,(1) 지원인력제고의 개선,(1) 지원인력제고의 개선,title,0.989
2023-research-1-15,2023-research-4-2-1-1,1) 전문가협의회 진행 결과,전문가협의회 진행 결과 (1) 1차 전문가협의회,containment,0.949
2023-research-1-16,2023-research-4-2-1-1,② 1차 전문가협의회 결과,전문가협의회 진행 결과 (1) 1차 전문가협의회,subheading+containment,0.896
2023-research-1-17,2023-research-4-2-2-1,1) 교사의 직무에 따른 장애인교원 근무 지원 방안,(1) 교사의 직무에 따른 장애인교원 근무 지원 방안,title,0.065
2023-research-1-18,2023-research-5-1,1. 결론,1. 결론,title,0.047
2023-research-1-19,2023-research-app-1,부록 1. 장애인교원 근무지원 방안 개발 관련 자료,◇ 부록1. 장애인교원 근무지원 방안 개발 관련 자료,title,0.593
2023-research-1-2,,Ⅱ. 장애인교원 지원 관련 선행연구 분석 1,,unmatched,0.306
2023-research-1-20,2023-research-app-3-x1,1차 조사결과 확인용,"「장애인교원 교육 전념 여건 지원사업」을 위한 전문가 패널 의견 조사_(초등학교용, 2차)",containment,0.843
2023-research-1-21,,1차 조사결과 확인용,,unmatched,0.442
2023-research-1-22,2023-research-app-2-x2,1차 조사결과 확인용,"「장애인교원 교육 전념 여건 지원사업」을 위한 전문가 패널 의견 조사_(중학교용, 1차)",containment,0.679
2023-research-1-23,,1차 조사결과 확인용,,unmatched,0.469
2023-research-1-24,,1차 조사결과 확인용,,unmatched,0.447
2023-research-1-25,,1차 조사결과 확인용,,unmatched,0.456
2023-research-1-26,,1차 조사결과 확인용,,unmatched,0.402
2023-research-1-27,2023-research-app-2-x4,1차 조사결과 확인용,"「장애인교원 교육 전념 여건 지원사업」을 위한 전문가 패널 의견 조사_(특수학교용, 1차)",containment,0.640
2023-research-1-3,2023-research-1-1,1. 연구의 필요성 및 목적,1. 연구의 필요성 및 목적,title,0.966
2023-research-1-3-2,2023-research-4-3-1-3,③ 1차 ~ 3차 전문가협의회 논의 결과 종합,(3) 1차 ~ 3차 전문가협의회 결과,subheading,0.982
2023-research-1-4,2023-research-1-2-1,1) 교사의 직무 유형 분석,1) 교사의 직무 유형 분석,title,0.918
2023-research-1-5,2023-research-1-3-1,1) 연구 수행 절차,1) 연구 수행 절차,title,0.560
2023-research-1-5-2,2023-research-app-1-5,[부록 1-5] 지체장애인 교원의 장애유형별 특성 및 요구를 고려한 전반적 지원 방안,[부록 1-5] 지체장애인 교원의 장애유형별 특성 및 요구를 고려한 전반적 지원 방안,title,0.477
2023-research-1-6,2023-research-2-1-2,1. 분석 절차,2) 분석 대상 자료,containment,0.953
2023-research-1-7,2023-research-2-1-2,<표 Ⅱ-1> 분석 대상 자료 현황,2) 분석 대상 자료,containment,0.805
2023-research-1-8,2023-research-2-3-1,1) 정보접근 분야,1) 정보접근 분야,title,0.279
2023-research-1-9,2023-research-2-2-4-1,(1) 교수학습,신체활동 분야 (1) 교수학습,title+containment,0.462
2023-research-117-2,2023-research-5-1-1-4,< 표 Ⅲ-117 > 특수학교 교원의 학생교육복지와 관련한 직무에 대한 타당성 조사 결과(2차),교원의 직무 유형 개발 결과 (4) 특수학교,containment,0.682
2023-research-195,2023-research-5-2,Ⅳ. 장애유형별 장애인교원 근무지원 방안 탐색 195,2. 요약 및 제언,containment,0.577
2023-research-2,2023-research-1-2-2,2) 교사 직무 유형에 따른 장애를 고려한 근무 지원 방안 탐색,2) 교사 직무 유형에 따른 장애를 고려한 근무 지원 방안 탐색,title,0.874
2023-research-2-1,2023-research-app-2-x1,부록 2. 델파이 1차 조사지,"「장애인교원 교육 전념 여건 지원사업」을 위한 전문가 패널 의견 조사_(초등학교용, 1차)",containment,0.862
2023-research-2-10,2023-research-3-3-2-2,(2) 중학교,연구결과 (2) 중학교,title+containment,0.844
2023-research-2-11,2023-research-4-1-1-2,② 2차 전문가협의회 결과,(2) 2차 전문가협의회,subheading+containment,0.988
2023-research-2-12,2023-research-4-1-2-1,2) 장애유형별 장애인교원 근무 지원 방안 탐색,(1) 교사의 주요 직무유형별 장애인교원 근무 현황 및 지원 방안,containment,0.753
2023-research-2-13,2023-research-4-1-2-2,(2) 장애유형별 특성 및 요구를 고려한 장애인교원의 전반적 지원 방안,(2) 장애유형별 특성 및 요구를 고려한 장애인교원의 전반적 지원 방안,title,0.980
2023-research-2-14,2023-research-4-1-3-2,(2) 지체장애인의 이동 및 정보 접근성 보장 노력,(2) 지체장애인의 이동 및 정보 접근성 보장 노력,title,0.538
2023-research-2-15,2023-research-4-2-2-1,2) 장애유형별 장애인교원 근무지원 방안 탐색,(1) 교사의 직무에 따른 장애인교원 근무 지원 방안,containment,0.817
2023-research-2-16,2023-research-4-2-2-2,(2) 지원유형별 장애인교원 근무 지원 방안,(2) 지원유형별 장애인교원 근무 지원 방안,title+containment,0.905
2023-research-2-17,2023-research-4-3-2,2) 지원유형별 장애인교원 근무 지원 방안,2) 지원유형별 장애인교원 근무 지원 방안,title+containment,0.950
2023-research-2-18,2023-research-5-1-1-2,(2) 중학교,교원의 직무 유형 개발 결과 (2) 중학교,title+containment,0.907
2023-research-2-19,2023-research-5-1-2-2,(2) 시각장애,(2) 시각장애,title,0.902
2023-research-2-2,2023-research-1-3-2,2) 연구 운영 조직 체계,2) 연구 운영 조직 체계,title,0.739
2023-research-2-2-2,2023-research-4-2-1-2,(2) 2차 전문가 협의회,(2) 2차 전문가 협의회,title+containment,0.895
2023-research-2-20,2023-research-app-3-x1,2차 조사 응답,"「장애인교원 교육 전념 여건 지원사업」을 위한 전문가 패널 의견 조사_(초등학교용, 2차)",containment,0.824
2023-research-2-21,2023-research-app-3-x2,2차 조사 응답,"「장애인교원 교육 전념 여건 지원사업」을 위한 전문가 패널 의견 조사_(중학교용, 2차)",containment,0.533
2023-research-2-22,,2차 조사 응답,,unmatched,0.453
2023-research-2-23,,2차 조사 응답,,unmatched,0.444
2023-research-2-24,2023-research-3-3-3-3,2차 조사 응답,델파이 2차 조사 결과 (3) 고등학교,containment,0.570
2023-research-2-25,2023-research-3-3-3-3,2차 조사 응답,델파이 2차 조사 결과 (3) 고등학교,containment,0.547
2023-research-2-26,2023-research-5-1-1-3,2차 조사 응답,교원의 직무 유형 개발 결과 (3) 고등학교,containment,0.631
2023-research-2-27,2023-research-3-3-3-4,2차 조사 응답,델파이 2차 조사 결과 (4) 특수학교,containment,0.509
2023-research-2-28,,2차 조사 응답,,unmatched,0.324
2023-research-2-3,2023-research-2-2-1-2,(2) 생활지도,정보접근 분야 (2) 생활지도,title+containment,0.980
2023-research-2-4,2023-research-2-2-5-2,(2) 학교업무,기타 분야 (2) 학교업무,title+containment,0.132
2023-research-2-5,2023-research-2-3-2,2) 의사소통 분야,2) 의사소통 분야,title,0.925
2023-research-2-6,2023-research-3-1-2,2) 학교 내 교원 업무분장 사례,2) 학교 내 교원 업무분장 사례,title,0.873
2023-research-2-7,2023-research-3-2-1,2. 데이컴위원회,1) 방법,containment,0.960
2023-research-2-8,2023-research-3-2-2,2) 결과,2) 결과,title,0.888
2023-research-2-9,2023-research-3-3-2-1-d2,2) 연구결과,① 초등학교,containment,0.837
2023-research-2-9-2,2023-research-app-3-x3,2-9. 다음은 고등학교 교원의 진로진학 관련한 직무에 대한 내용입니다. 해당 내용이 어느 정도 타당하다고 생각하시는지 표시하여 주십시오.,"「장애인교원 교육 전념 여건 지원사업」을 위한 전문가 패널 의견 조사_(고등학교용, 2차)",containment,0.647
2023-research-3,2023-research-2-2-1-3,(3) 학교업무,정보접근 분야 (3) 학교업무,title+containment,0.980
2023-research-3-2,2023-research-2-3-1,3. 분석결과 요약,1) 정보접근 분야,containment,0.924
2023-research-3-2-2,2023-research-3-3-3-1,3) 델파이 2차 조사 결과,델파이 2차 조사 결과 (1) 초등학교,containment,0.869
2023-research-3-2-3,2023-research-app-3-x1,부록 3. 델파이 2차 조사지,"「장애인교원 교육 전념 여건 지원사업」을 위한 전문가 패널 의견 조사_(초등학교용, 2차)",containment,0.865
2023-research-3-3,2023-research-2-3-3,3) 이동 및 시설 접근 분야,3) 이동 및 시설 접근 분야,title,0.936
2023-research-3-3-2,2023-research-4-1-1-3,(3) 3차 전문가협의회,전문가협의회 진행 결과 및 시사점 (3) 3차 전문가협의회,title+containment,0.929
2023-research-3-4,2023-research-4-1-1-3,② 3차 전문가협의회 결과,전문가협의회 진행 결과 및 시사점 (3) 3차 전문가협의회,subheading+containment,0.983
2023-research-3-5,2023-research-4-3-3,3) 요약 및 제언,3) 요약 및 제언,title+containment,0.978
2023-research-3-6,2023-research-5-1-1-3,(3) 고등학교,교원의 직무 유형 개발 결과 (3) 고등학교,title+containment,0.889
2023-research-3-7,2023-research-5-1-2-3,(3) 청각장애,(3) 청각장애,title,0.879
2023-research-305,,Ⅴ. 결론 및 제언 305,,unmatched,0.273
2023-research-4,2023-research-2-3-4,4) 신체 활동 분야,4) 신체 활동 분야,title,0.920
2023-research-4-2,2023-research-3-3-2-4,(4) 특수학교,연구결과 (4) 특수학교,title+containment,0.865
2023-research-4-3,2023-research-3-3-3-4,(4) 특수학교,델파이 2차 조사 결과 (4) 특수학교,title+containment,0.849
2023-research-4-4,2023-research-5-1-1-4,(4) 특수학교,교원의 직무 유형 개발 결과 (4) 특수학교,title+containment,0.513
2023-research-49,,Ⅲ. 교원의 직무 분류표 개발 및 타당성 검증 49,,unmatched,0.317
2023-research-5,2023-research-2-3-5,5) 기타 분야,5) 기타 분야,title,0.971
2023-research-6,2023-research-2-3-6,6) 공통 분야,6) 공통 분야,title,0.966
2023-research-7,2023-research-2-3-5,< 표 Ⅱ-7 > 교원의 직무에 따른 장애유형별 장애인교원의 어려움 및 지원 요구 또는 지원 방안 선행연구 분석 결과 요약표 - 기타 분야,5) 기타 분야,containment,0.922
2023-research-94-2,2023-research-3-3-2-2,< 표 Ⅲ -94 > 중학교 교원의 민주시민교육과 관련한 직무에 대한 타당성 조사 결과(2차),연구결과 (2) 중학교,containment,0.659
2023-research-appendix-006,,부록,,unmatched,0.449
2023-research-neis,2023-research-2-2-1-3,② 시각장애 – NEIS(교무업무시스템) 사용의 어려움,정보접근 분야 (3) 학교업무,subheading,0.984
2023-research-p-015,2023-research-2-2-1-1,④ 시각장애 – 학습자료 선정 또는 신청의 어려움,정보접근 분야 (1) 교수학습,subheading,0.990
2023-research-p-016,2023-research-2-2-1-1,⑤ 청각장애 – 음성 및 영상 매체 활용의 어려움,정보접근 분야 (1) 교수학습,subheading,0.984
2023-research-p-020,2023-research-2-2-1-3,"③ 시각장애, 지체·뇌병변장애 – 장애가 고려된 컴퓨터 인터페이스 부재의 어려움",정보접근 분야 (3) 학교업무,subheading,0.983
2023-research-p-021,2023-research-2-2-1-3,"④ 시각장애 – 사진, 일반 인쇄물 등 자료 접근의 어려움",정보접근 분야 (3) 학교업무,subheading,0.346
2023-research-p-022,2023-research-2-2-3-4,② 타인과 함께 교무실 업무 시 어려움,이동 및 시설 접근 분야 (4) 기타,subheading,0.985
2023-research-p-023,2023-research-2-2-3-4,③ 시각장애 – 학교 공간 구성 위치 파악 및 숙지의 어려움,이동 및 시설 접근 분야 (4) 기타,subheading,0.983
2023-research-p-024,2023-research-2-2-3-4,④ 지체·뇌병변장애 – 외부 장소 이동의 어려움,이동 및 시설 접근 분야 (4) 기타,subheading,0.995
2023-research-p-025,2023-research-2-2-3-4,⑤ 교수학습과 생활지도의 어려움,이동 및 시설 접근 분야 (4) 기타,subheading,0.985
2023-research-p-042,2023-research-3-3-2-1-d2,② 수업과 학습지도,① 초등학교,subheading+containment,0.817
2023-research-p-044,2023-research-3-3-2-2,② 수업과 학습지도,연구결과 (2) 중학교,subheading+containment,0.808
2023-research-p-045,2023-research-3-3-2-3,② 수업과 학습지도,연구결과 (3) 고등학교,subheading+containment,0.771
2023-research-p-046,2023-research-3-3-2-3,④ 기타(행정업무 등),연구결과 (3) 고등학교,subheading+containment,0.538
2023-research-p-048,2023-research-3-3-2-4,② 수업과 학습지도,연구결과 (4) 특수학교,subheading+containment,0.789
2023-research-p-050,2023-research-3-3-3-1,② 수업과 학습지도,델파이 2차 조사 결과 (1) 초등학교,subheading+containment,0.890
2023-research-p-051,2023-research-3-3-3-1,③ 생활지도와 학급경영,델파이 2차 조사 결과 (1) 초등학교,subheading+containment,0.562
2023-research-p-052,2023-research-3-3-3-2,② 수업과 학습지도,델파이 2차 조사 결과 (2) 중학교,subheading+containment,0.851
2023-research-p-054,2023-research-3-3-3-3,④ 기타(행정업무 등),델파이 2차 조사 결과 (3) 고등학교,subheading+containment,0.620
2023-research-p-055,2023-research-3-3-3-3,② 수업과 학습지도,델파이 2차 조사 결과 (3) 고등학교,subheading+containment,0.800
2023-research-p-057,2023-research-3-3-3-4,② 수업과 학습지도,델파이 2차 조사 결과 (4) 특수학교,subheading+containment,0.875
2023-research-p-060,2023-research-4-1-1-1,㉤ 직무수행 방법에서의 어려움,전문가협의회 진행 결과 및 시사점 (1) 1차 전문가협의회,subheading,0.822
2023-research-p-062,2023-research-4-1-1-2,ⓑ 지체장애인 교원의 지위 하락 우려,(2) 2차 전문가협의회,containment,0.663
2023-research-p-072,2023-research-4-2-1-2,② 교직 특성에서 기인한 어려움,(2) 2차 전문가 협의회,subheading,0.261
2023-research-p-078,2023-research-4-3-2,① 업무 진행 시 가장 어려운 점,2) 지원유형별 장애인교원 근무 지원 방안,containment,0.956
2023-research-p-079,2023-research-4-3-2,② 해결방안,2) 지원유형별 장애인교원 근무 지원 방안,containment,0.950
2023-research-p-080,2023-research-4-3-2,① 생존수영 업무,2) 지원유형별 장애인교원 근무 지원 방안,containment,0.918
2023-research-p-097,,중학교 교원의 과학정보교육에 관련한 직무에 대한 수정 및 보완 의견,,unmatched,0.302
2023-research-p-103,,<고등학교 교원의 진로진학과 관련한 직무에 대한 수정 및 보완 의견>,,unmatched,0.302
2023-research-p-105,,진로진학과 관련한 직무의 구성과 관련하여 추가 의견이 있으시면 작성해주시기 바랍니다.,,unmatched,0.461
2023-research-p-112,,<특수학교 교원의 과학정보교육에 관련한 직무에 대한 수정 및 보완 의견>,,unmatched,0.466
2023-research-p-113,2023-research-app-3-x4,검토 및 반영 내용,"「장애인교원 교육 전념 여건 지원사업」을 위한 전문가 패널 의견 조사_(특수학교용, 2차)",containment,0.786
2024-jbu-1,2024-jbu-1-1-2,1 장애인교원의 정의 및 특성,나. 장애인교원의 분류,containment,0.726
2024-jbu-1-10,2024-jbu-4-app-2-x1-x3,1. 민원(고객)사무의 명칭 :,행정정보 공동이용 신청(동의)서,subheading,1.000
2024-jbu-1-11,2024-jbu-4-app-2-x2-x4,1. 시·도교육청 장애인교원 업무 담당(지원) 부서 및 연락처,개인정보 수집·이용 및 제공 사전 동의서,containment,0.936
2024-jbu-1-12,2024-jbu-4-app-2-x2-1,1) 인적지원,보조공학기기 신청 서식 1) 인적지원,title+containment,0.907
2024-jbu-1-2,2024-jbu-1-1-3-1,1) 외부 신체기능장애와 내부기관장애,1) 외부 신체기능장애와 내부기관장애,title,1.000
2024-jbu-1-2-2,2024-jbu-4-app-1,[가. 일반사항 1-2] 지원유형별 근로지원인 자격기준,[부록 1] 편의시설의 종류,containment,0.744
2024-jbu-1-3,2024-jbu-2-1-1,1 업무 지원 원칙,가. 업무 지원 과정에서의 고려 사항,containment,0.952
2024-jbu-1-4,2024-jbu-2-2-3-1,1) 생활지도 및 학급운영의 하위 업무 유형,1) 생활지도 및 학급운영의 하위 업무 유형,title,1.000
2024-jbu-1-5,2024-jbu-2-2-4-1,1) 시각장애,1) 시각장애,title,0.926
2024-jbu-1-6,2024-jbu-2-2-4-3,(1) 교육 환경의 지속적 개선,3) 지체·뇌병변장애,subheading,0.911
2024-jbu-1-7,,1 복무 및 성과 관리 지원,,unmatched,0.409
2024-jbu-1-8,2024-jbu-4-2-3-1,1) 교육활동 침해 유형,1) 교육활동 침해 유형,title+containment,0.986
2024-jbu-1-9,2024-jbu-4-3-3-1,1) 교권침해 발생 대응 절차,1) 교권침해 발생 대응 절차,title,0.889
2024-jbu-1-94,,1. 장애인교원의 권리 94,,unmatched,0.282
2024-jbu-2,2024-jbu-1-1-3-2,2) 내부기관장애,2) 내부기관장애,title,1.000
2024-jbu-2-10,2024-jbu-4-2-1-2,2) 장애인교원 관련 차별 사례,2) 장애인교원 관련 차별 사례,title,0.985
2024-jbu-2-11,2024-jbu-4-2-2-2,2) 장애인 학대 사례,2) 장애인 학대 사례,title,0.922
2024-jbu-2-12,2024-jbu-4-2-3-2,2) 교육활동 침해 사례,2) 교육활동 침해 사례,title,0.976
